Names,Links
Applin,https://www.serebii.net/pokedex-sv/applin/
Flapple,https://www.serebii.net/pokedex-sv/flapple/
Appletun,https://www.serebii.net/pokedex-sv/appletun/
Spoink,https://www.serebii.net/pokedex-sv/spoink/
Grumpig,https://www.serebii.net/pokedex-sv/grumpig/
Squawkabilly,https://www.serebii.net/pokedex-sv/squawkabilly/
Misdreavus,https://www.serebii.net/pokedex-sv/misdreavus/
Mismagius,https://www.serebii.net/pokedex-sv/mismagius/
Makuhita,https://www.serebii.net/pokedex-sv/makuhita/
Hariyama,https://www.serebii.net/pokedex-sv/hariyama/
Crabrawler,https://www.serebii.net/pokedex-sv/crabrawler/
Crabominable,https://www.serebii.net/pokedex-sv/crabominable/
Salandit,https://www.serebii.net/pokedex-sv/salandit/
Salazzle,https://www.serebii.net/pokedex-sv/salazzle/
Phanpy,https://www.serebii.net/pokedex-sv/phanpy/
Donphan,https://www.serebii.net/pokedex-sv/donphan/
Cufant,https://www.serebii.net/pokedex-sv/cufant/
Copperajah,https://www.serebii.net/pokedex-sv/copperajah/
Gible,https://www.serebii.net/pokedex-sv/gible/
Gabite,https://www.serebii.net/pokedex-sv/gabite/
Garchomp,https://www.serebii.net/pokedex-sv/garchomp/
Nacli,https://www.serebii.net/pokedex-sv/nacli/
Naclstack,https://www.serebii.net/pokedex-sv/naclstack/
Garganacl,https://www.serebii.net/pokedex-sv/garganacl/
Wingull,https://www.serebii.net/pokedex-sv/wingull/
Pelipper,https://www.serebii.net/pokedex-sv/pelipper/
Magikarp,https://www.serebii.net/pokedex-sv/magikarp/
Gyarados,https://www.serebii.net/pokedex-sv/gyarados/
Arrokuda,https://www.serebii.net/pokedex-sv/arrokuda/
Barraskewda,https://www.serebii.net/pokedex-sv/barraskewda/
Basculin,https://www.serebii.net/pokedex-sv/basculin/
Gulpin,https://www.serebii.net/pokedex-sv/gulpin/
Swalot,https://www.serebii.net/pokedex-sv/swalot/
Meowth,https://www.serebii.net/pokedex-sv/meowth/
Persian,https://www.serebii.net/pokedex-sv/persian/
Drifloon,https://www.serebii.net/pokedex-sv/drifloon/
Drifblim,https://www.serebii.net/pokedex-sv/drifblim/
Flabébé,https://www.serebii.net/pokedex-sv/flabebe/
Floette,https://www.serebii.net/pokedex-sv/floette/
Florges,https://www.serebii.net/pokedex-sv/florges/
Diglett,https://www.serebii.net/pokedex-sv/diglett/
Dugtrio,https://www.serebii.net/pokedex-sv/dugtrio/
Torkoal,https://www.serebii.net/pokedex-sv/torkoal/
Numel,https://www.serebii.net/pokedex-sv/numel/
Camerupt,https://www.serebii.net/pokedex-sv/camerupt/
Bronzor,https://www.serebii.net/pokedex-sv/bronzor/
Bronzong,https://www.serebii.net/pokedex-sv/bronzong/
Axew,https://www.serebii.net/pokedex-sv/axew/
Fraxure,https://www.serebii.net/pokedex-sv/fraxure/
Haxorus,https://www.serebii.net/pokedex-sv/haxorus/
Mankey,https://www.serebii.net/pokedex-sv/mankey/
Primeape,https://www.serebii.net/pokedex-sv/primeape/
Annihilape,https://www.serebii.net/pokedex-sv/annihilape/
Meditite,https://www.serebii.net/pokedex-sv/meditite/
Medicham,https://www.serebii.net/pokedex-sv/medicham/
Riolu,https://www.serebii.net/pokedex-sv/riolu/
Lucario,https://www.serebii.net/pokedex-sv/lucario/
Charcadet,https://www.serebii.net/pokedex-sv/charcadet/
Armarouge,https://www.serebii.net/pokedex-sv/armarouge/
Ceruledge,https://www.serebii.net/pokedex-sv/ceruledge/
Barboach,https://www.serebii.net/pokedex-sv/barboach/
Whiscash,https://www.serebii.net/pokedex-sv/whiscash/
Tadbulb,https://www.serebii.net/pokedex-sv/tadbulb/
Bellibolt,https://www.serebii.net/pokedex-sv/bellibolt/
Goomy,https://www.serebii.net/pokedex-sv/goomy/
Sliggoo,https://www.serebii.net/pokedex-sv/sliggoo/
Goodra,https://www.serebii.net/pokedex-sv/goodra/
